lockL3,lockL4,lockL5,lockL6,station_eu_code
NA,NA,NA,-0.0955910903734013,IT0863A
0.24408707873923952,0.27964359893888524,0.17433141570670418,0.10469246269262933,IT0867A
NA,NA,NA,NA,IT0869A
NA,NA,NA,NA,IT0884A
NA,NA,NA,-0.0744577036586983,IT0885A
-0.23103917561475185,-0.20895584833297387,-0.21969423097271468,-0.22307316456439463,IT0952A
-0.08483640091190126,NA,-0.09294003448140242,-0.09114076330169174,IT0953A
NA,0.08303820789546523,NA,NA,IT0989A
-0.5052219138639243,-0.20919717723194942,NA,NA,IT0992A
NA,NA,NA,NA,IT1176A
NA,NA,NA,NA,IT1835A
NA,NA,-0.1645933975616931,-0.13583905645020722,IT1836A
0.11802247799842047,0.09818754665916418,NA,NA,IT1906A
NA,NA,NA,NA,IT2012A
NA,0.08359100647050233,NA,NA,IT2013A
NA,-0.09300479261026162,-0.22220113519897855,-0.3268324846860703,IT2023A
NA,NA,NA,NA,IT2172A
NA,NA,-0.0887095012716076,-0.08439919586236133,IT2173A
0.07124987166783425,0.1142993825222518,NA,NA,IT2265A
