"station_eu_code";"rmse_20";"rmse_80";"mse_20";"mse_80";"rsq_20";"rsq_80";"FAC2";"FB";"NMSE"
IT0863A;12.27213952935;12.3515384286988;150.605408627834;152.560501555624;0.638723233503142;0.649076640846438;0.983286908077994;0.0040525001574677;0.0310664647979832
IT0867A;12.743598370647;12.2591038767225;162.399299432356;150.285627860272;0.760940838128037;0.811319079982029;0.972299168975069;0.0230549545369656;0.032991682260748
IT0869A;11.6992392799442;10.8054455512031;136.872199729388;116.757653560016;0.656759662061877;0.714485311220057;0.974576271186441;0.0115863006114132;0.0285220690161904
IT0884A;10.6705500260838;10.4541828362756;113.860637859158;109.289938774279;0.700396516588626;0.724515332405579;1;0.00527407234289388;0.0133491488087167
IT0885A;12.4431469305593;11.0950386611731;154.831905535486;123.099882892925;0.604445719198647;0.641018456421555;1;0.000537507349695265;0.0259040233628004
IT0952A;10.7875209413677;11.1744292088067;116.370608060447;124.867868142633;0.721851945005642;0.717821409710868;0.997183098591549;0.00833066033874363;0.0166823013790681
IT0953A;11.7222325077943;11.6308777545058;137.41073496679;135.277317340258;0.827251103416179;0.83834848867148;0.968660968660969;0.0130430966888184;0.024293277722674
IT0989A;12.663938900283;12.40254886696;160.375348470101;153.82321839733;0.718458477267659;0.741968093176271;0.983286908077994;0.00176568382134389;0.0215228928451469
IT0992A;15.7986113160253;15.5448439963669;249.596119514844;241.642174871383;0.70006063986427;0.687400315411369;0.994100294985251;0.0123902657363588;0.028666913715867
IT1176A;15.3601790809452;13.5995863976652;235.935101398707;184.948750187562;0.763913269000775;0.822013006840631;0.93854748603352;0.00011525951389638;0.038139401124535
IT1835A;12.0235212829321;11.4143847548216;144.56506404112;130.288179331103;0.833956314253476;0.847220567168667;0.96927374301676;0.0207023906462031;0.0255422335866916
IT1836A;11.9489358548443;11.1648411145243;142.777068063184;124.653677112572;0.795126252659174;0.807230878247769;0.943977591036415;0.0442886104854134;0.0370454400615135
IT1906A;11.307884560442;10.7848843060631;127.868253232283;116.313729495166;0.838486030077586;0.831387265172972;0.94269340974212;0.0216658840264389;0.0306177964032584
IT2012A;11.1530419067653;11.0555528112133;124.390343774064;122.225247961526;0.756437190755462;0.77597712071216;1;0.00218023967544908;0.0196743776141923
IT2013A;11.5821041855572;11.6692451599015;134.145137365102;136.171282601885;0.811246956108477;0.801281007917558;0.988603988603989;0.00230395402000762;0.0202145409267521
IT2023A;11.1304129350013;11.6866293939824;123.886092103645;136.577306592293;0.689673722411938;0.694542592308417;0.997159090909091;0.00506809253825143;0.0199189120405301
IT2172A;11.5836510742452;11.2658380505315;134.180972209863;126.919106980804;0.592746883697662;0.625627852808418;0.994444444444444;0.00269639321463736;0.0213918074693654
IT2173A;11.2649978028967;10.5090579932084;126.900175499267;110.440299904618;0.620556145788815;0.667708931375711;0.994334277620397;0.00567135652383979;0.0185403939063717
IT2265A;10.5562508447297;9.6870133199631;111.434431896857;93.8382270611425;0.527891469025048;0.618600212498309;1;0.0104855119596535;0.0211762791615007
