"station_eu_code";"rmse_20";"rmse_80";"mse_20";"mse_80";"rsq_20";"rsq_80";"FAC2";"FB";"NMSE"
IT0863A;0.106580188786285;0.145698996871922;0.0113593366417202;0.0212281976894845;0.545401759085799;0.436093629646623;0.972222222222222;0.0201121907597791;0.087727596169127
IT0867A;0.136939465924419;0.138346447461509;0.0187524173276651;0.01913973952522;0.590596990827229;0.640199731295227;0.966850828729282;0.00363462896452465;0.10288340421212
IT0871A;0.102635830542861;0.101243426420653;0.0105341137112228;0.0102502313933942;0.795061622681982;0.799927163372341;0.972527472527473;0.0263490890662535;0.0562759785968518
IT0885A;0.135840766133965;0.0738495763634449;0.0184527137438624;0.00545375992906028;0.376583816913729;0.619988616892439;0.985994397759104;0.0483093820195045;0.191855282554622
IT0888A;0.102778623921307;0.117407945462879;0.0105634455351574;0.0137846256578144;0.743967285938231;0.697115721119487;0.997191011235955;0.00284300238901837;0.0605196967126374
IT0953A;0.0993010039596908;0.0845995255377754;0.00986068938740253;0.00715707972121671;0.602629923128096;0.698123028574609;0.997183098591549;0.0091806939095161;0.0664414559942691
IT0991A;0.139277668143348;0.121665043659593;0.0193982688434486;0.0148023828486907;0.805888415999516;0.859918458947223;0.980609418282548;0.011459469775974;0.0538076548143361
IT1200A;0.248382139686218;0.228393188268955;0.0616936873151038;0.0521634484476582;0.763997079387693;0.811113539435616;0.926760563380282;0.0120265430266644;0.109873116607959
IT1837A;0.153403481877605;0.148475993382183;0.0235326282521728;0.0220451206108261;0.754883770708808;0.776954470885674;0.991643454038997;0.0238884025807835;0.0442810420125353
IT2013A;5.13570808731455;0.282882541481484;26.3754975581081;0.0800225322750235;6.60724053020265e-05;0.648290659988879;0.502762430939227;0.510927916897571;101.769884981162
IT2171A;0.0825135405547056;0.080494771389835;0.00680848437487305;0.0064794082211018;0.751566027991408;0.802892100323313;0.997260273972603;0.0123033542979131;0.0453005969972983
IT2174A;0.103184208173859;0.0858911277176558;0.0106469808164662;0.00737728582061065;0.766458551914361;0.833335507240914;0.991525423728814;0.0080870914157965;0.0634374111089783
