"station_eu_code";"rmse_20";"rmse_80";"mse_20";"mse_80";"rsq_20";"rsq_80";"FAC2";"FB";"NMSE"
IT0825A;7.57017068542579;7.28690542472309;57.3074842064799;53.0989906688588;0.73256889893205;0.75853711995471;0.994413407821229;0.00137919077571686;0.019370983763331
IT0828A;7.81932985359986;7.7759554445211;61.1419193593981;60.4654830751774;0.791858378644369;0.793159985679631;1;0.000682557611860267;0.0199089305531553
IT0863A;5.16999497879786;4.63487032737226;26.7288480807951;21.4820229515558;0.74043514487274;0.775006873026342;0.980662983425414;0.00149656363585199;0.0435592488367534
IT0865A;5.49611796027785;5.55004894163112;30.2073126332888;30.8030432545007;0.662862706533558;0.663707565683319;0.971751412429379;0.00433409266623187;0.0662208438732198
IT0867A;4.67206833376914;4.63498850466699;21.8282225154084;21.4831184383951;0.80342723599659;0.812174482326314;0.967032967032967;0.00355572989321729;0.0490329846161933
IT0869A;6.13519551560795;5.58605364263617;37.6406240147359;31.2039952984088;0.751224938620286;0.778561116953754;0.974789915966387;0.0319629583024111;0.0645129942786485
IT0870A;7.86076887430521;7.49694199300293;61.7916872952456;56.2041392464507;0.519618816541285;0.611310752108318;0.969187675070028;0.0275588136829444;0.0830758497063468
IT0871A;3.99907744967542;3.72688762782396;15.9926204485025;13.8896913904273;0.764561947380489;0.778297646458452;0.994475138121547;0.00774617169199563;0.0475150566163363
IT0872A;5.19913996159015;5.10876147693365;27.0310563402036;26.0994438282013;0.701031958989994;0.724293632113949;0.997245179063361;0.00884243382018087;0.0301082731803057
IT0884A;2.48339505641375;2.45170089250662;6.16725100622027;6.01083726631776;0.515446405272266;0.490144453900778;0.938028169014084;0.00579196725807998;0.0966970969992394
IT0885A;6.25217027944332;5.59963129769571;39.0896332031543;31.3558706701333;0.689042630764609;0.692410412147952;0.974647887323944;0.0289257491093061;0.0799769902087517
IT0887A;5.93680574972459;5.92134325292716;35.2456625099629;35.062305918986;0.652359583583244;0.658741051654165;0.974719101123595;0.0113754109406096;0.0455822239025706
IT0888A;5.33391974723954;5.21332175297316;28.4506998699919;27.1787237000231;0.697398494091141;0.729683257048321;0.994366197183099;0.00585054317999168;0.0303137429715706
IT0889A;5.20082927345689;5.42223576698779;27.0486251316461;29.4006407128017;0.803410987183692;0.797000755757815;0.997198879551821;0.00531968699428498;0.0352194358219848
IT0952A;3.90948012052975;3.6354401600148;15.2840348128173;13.2164251570484;0.731742405813149;0.736253471059334;0.935393258426966;0.00286153028264615;0.0944885699135928
IT0953A;8.05675984702613;7.1964722908261;64.9113792326524;51.7892134326279;0.695583947472961;0.726550823687669;0.96875;0.0125293391900509;0.0561000647684025
IT0956A;8.78228385626543;7.79705810036534;77.1285097320204;60.7941150204728;0.754359457244254;0.772304386737855;0.991573033707865;0.00264027202207333;0.0461009866366459
IT0989A;1.8416128289048;1.76055665425154;3.39153781158672;3.09955973282939;0.796259876900075;0.794446432174553;0.93854748603352;0.026509840462459;0.0796976144909408
IT0991A;6.60766242818321;6.14415464798835;43.661202764824;37.7506363383969;0.754340289497163;0.774708744204392;0.986072423398329;0.0122772912605344;0.0341291356096682
IT0992A;2.33573126340431;1.99941886659691;5.4556405348443;3.99767580410366;0.635197790072853;0.627018050340173;0.969187675070028;0.0240463702792409;0.123335839868632
