"date","reporting_year","station_eu_code","value","mese","stagione","station_code","t2m","tmin2m","tmax2m","tp","ptp","rh","u10m","v10m","wspeed","wspeed_max","pwspeed","wdir","sp","nirradiance","pbl00","pbl12","pblmin","pblmax","coordx","coordy","altitude","altitudedem","jd"
2016-01-01,2016,"IT0884A",10,1,"inverno",1205801,8.4,6.5,11,0.5,0,86,-2,0.1,2.00249843945008,1.32985109544769,2.58069758011279,92.8624052261117,1001.9,50.9,0.07,0.43,0.07,0.68,740299,4671390,542,568,1095
2016-01-02,2016,"IT0884A",10.5217391304348,1,"inverno",1205801,10.5,8.7,12.7,11.1,0.5,90.2,-2.6,4.1,4.85489443757534,1.86496511679864,2.00249843945008,147.619322293431,994.8,12.6,0.15,0.54,0.15,0.7,740299,4671390,542,568,1096
2016-01-03,2016,"IT0884A",6.1304347826087,1,"inverno",1205801,9.6,6.8,12.7,8.8,11.1,87.2,2.7,-1.9,3.30151480384384,2.14844808950996,4.85489443757534,305.134193056916,985.1,60.8,0.73,0.82,0.07,0.97,740299,4671390,542,568,1097
2016-01-04,2016,"IT0884A",9,1,"inverno",1205801,10.7,7,12.9,8.6,8.8,91,2,1.7,2.62488094968134,1.33482288723056,3.30151480384384,229.635463426903,978,17.6,0.11,0.52,0.09,0.57,740299,4671390,542,568,1098
2016-01-05,2016,"IT0884A",12.9565217391304,1,"inverno",1205801,10.2,8.4,11.6,5.1,8.6,93.8,-0.9,0.8,1.20415945787923,3.21613984447458,2.62488094968134,131.63353933657,977.4,14.8,0.11,0.17,0.02,0.19,740299,4671390,542,568,1099
2016-01-06,2016,"IT0884A",7.47826086956522,1,"inverno",1205801,9,7.5,10.3,6.8,5.1,89.4,3.1,-0.3,3.11448230047949,1.88668805901985,1.20415945787923,275.527540151656,977.9,51.8,0.07,0.92,0.07,1.08,740299,4671390,542,568,1100
2016-01-07,2016,"IT0884A",15.9652173913043,1,"inverno",1205801,8.6,4.7,11,0.5,6.8,90.8,-0.8,0.4,0.894427190999916,3.02791068052843,3.11448230047949,116.565051177078,982.4,64.1,0.1,0.25,0.05,0.42,740299,4671390,542,568,1101
2016-01-08,2016,"IT0884A",10.7391304347826,1,"inverno",1205801,12.5,10.1,14.8,0.9,0.5,92.7,-1.7,2.9,3.36154726279432,2.01180892727362,0.894427190999916,149.620873988632,986.3,49.8,0.11,0.48,0.06,0.61,740299,4671390,542,568,1102
2016-01-09,2016,"IT0884A",9.56521739130435,1,"inverno",1205801,13.5,12.5,14.7,1.3,0.9,93.7,-1.9,4.8,5.16236379965612,5.05830607569853,3.36154726279432,158.404689551032,986.9,59,0.54,0.7,0.31,0.75,740299,4671390,542,568,1103
2016-01-10,2016,"IT0884A",6.30434782608696,1,"inverno",1205801,13.8,13.1,14.9,3.6,1.3,88.1,3.6,4.5,5.76281181368956,1.23929822083973,5.16236379965612,218.65980825409,985.6,67.5,0.39,0.89,0.39,1.02,740299,4671390,542,568,1104
2016-01-11,2016,"IT0884A",6.73913043478261,1,"inverno",1205801,13.8,12.3,15.1,3.2,3.6,85.5,3.6,6,6.99714227381436,7.53575377675788,5.76281181368956,210.963756532074,984.1,55.6,0.72,0.99,0.39,1.23,740299,4671390,542,568,1105
2016-01-12,2016,"IT0884A",8.95652173913044,1,"inverno",1205801,11.5,10.4,12.6,0.2,3.2,72,5.8,2.1,6.16846820531645,2.37081020564442,6.99714227381436,250.096250462692,986.1,69,0.47,1.64,0.27,1.64,740299,4671390,542,568,1106
2016-01-13,2016,"IT0884A",5.87391304347826,1,"inverno",1205801,9.8,7.1,11.6,0.4,0.2,67.4,5.2,-2.1,5.60802995712398,1.74000878860846,6.16846820531645,291.991129917177,992.8,75.6,0.18,0.96,0.14,1.2,740299,4671390,542,568,1107
2016-01-14,2016,"IT0884A",9.92173913043478,1,"inverno",1205801,8.8,4.5,11.5,10.6,0.4,83,0.4,3.4,3.42344855372474,2.33673401505923,5.60802995712398,186.709836807757,993.7,32.1,0.09,0.7,0.02,1.04,740299,4671390,542,568,1108
2016-01-15,2016,"IT0884A",6.2304347826087,1,"inverno",1205801,9.7,6.9,11.7,3.8,10.6,80.2,2.2,-1.6,2.72029410174709,2.51133986446715,3.42344855372474,306.027373385104,985.5,47.7,0.88,0.65,0.13,0.89,740299,4671390,542,568,1109
2016-01-16,2016,"IT0884A",6.39130434782609,1,"inverno",1205801,5.8,4,8.1,0.2,3.8,57.9,-2.8,-6.5,7.0774289116882,3.71930504859631,2.72029410174709,23.3048905392031,984.8,68.6,0.1,1.18,0.1,1.49,740299,4671390,542,568,1110
2016-01-17,2016,"IT0884A",4.17391304347826,1,"inverno",1205801,4.1,2.5,6.8,0.1,0.2,52.3,-0.2,-6,6.00333240792145,3.661007320845,7.0774289116882,1.90915243299639,991,90.3,1.33,1.29,0.4,1.64,740299,4671390,542,568,1111
2016-01-18,2016,"IT0884A",5.1304347826087,1,"inverno",1205801,3.1,1.2,5.6,0,0.1,55.6,-2.1,-3.6,4.16773319683494,1.12689735833336,6.00333240792145,30.2564371635293,994.7,93.7,0.41,0.79,0.15,1.09,740299,4671390,542,568,1112
2016-01-19,2016,"IT0884A",5.30869565217391,1,"inverno",1205801,4.1,1.6,7.4,0,0,64.5,-2,-1.4,2.44131112314674,1.56541099661151,4.16773319683494,55.0079798014413,992.3,82.1,0.17,0.58,0.14,1,740299,4671390,542,568,1113
2016-01-20,2016,"IT0884A",18.3173913043478,1,"inverno",1205801,4.9,1.3,8.4,1.1,0,76.5,-2.1,0,2.1,1.61125801125562,2.44131112314674,90,994.5,86.2,0.11,0.36,0.05,0.46,740299,4671390,542,568,1114
2016-01-21,2016,"IT0884A",7.95652173913043,1,"inverno",1205801,7,4.6,10.5,0,1.1,81.8,-1.8,-1.1,2.1095023109729,2.40706189715983,2.1,58.5704343851615,997,71.3,0.14,0.51,0.06,0.79,740299,4671390,542,568,1115
2016-01-22,2016,"IT0884A",13.0434782608696,1,"inverno",1205801,6.3,3,10.6,0,0,83.5,-1.4,-1.4,1.97989898732233,1.60344064986145,2.1095023109729,45,1005.1,83.7,0.09,0.3,0.02,0.65,740299,4671390,542,568,1116
2016-01-23,2016,"IT0884A",10.0869565217391,1,"inverno",1205801,6.8,3.4,10.7,0.1,0,86.6,-0.7,-1.1,1.30384048104053,1.77036398594385,1.97989898732233,32.4711922908485,1008.3,71.2,0.03,0.27,0.03,0.64,740299,4671390,542,568,1117
2016-01-24,2016,"IT0884A",8.39130434782609,1,"inverno",1205801,7.5,3.9,11.2,0,0.1,77.4,-0.8,-1.4,1.61245154965971,1.93251810996488,1.30384048104053,29.7448812969423,1010.8,95.3,0.18,0.22,0.02,0.48,740299,4671390,542,568,1118
2016-01-25,2016,"IT0884A",6.69565217391304,1,"inverno",1205801,7.4,2.2,11.8,0,0,85.4,0.5,-1.1,1.20830459735946,2.34404946760725,1.61245154965971,335.556045219583,1010.4,93.4,0.02,0.31,0.02,0.57,740299,4671390,542,568,1119
2016-01-26,2016,"IT0884A",7.43478260869565,1,"inverno",1205801,8.5,4.4,12.6,0,0,91.8,0.7,-1.5,1.65529453572468,1.31796063147209,1.20830459735946,334.9831065219,1008.8,66.7,0.03,0.51,0.03,0.59,740299,4671390,542,568,1120
2016-01-27,2016,"IT0884A",15.3318181818182,1,"inverno",1205801,10.3,6.8,13.3,0.1,0,92.1,0.8,0,0.8,1.72998176798834,1.65529453572468,270,1007.8,73.7,0.06,0.55,0.01,0.68,740299,4671390,542,568,1121
2016-01-28,2016,"IT0884A",16.7869565217391,1,"inverno",1205801,10.8,8.4,13.1,0.6,0.1,92.2,0.3,1.6,1.62788205960997,2.05862226314068,0.8,190.619655276155,1007.4,50.4,0.07,0.45,0.04,0.45,740299,4671390,542,568,1122
2016-01-29,2016,"IT0884A",22,1,"inverno",1205801,11.1,9.5,13,0.4,0.6,90.2,0.6,1,1.16619037896906,2.18054563688324,1.62788205960997,210.963756532074,1009,47.4,0.07,0.59,0.03,0.62,740299,4671390,542,568,1123
2016-01-30,2016,"IT0884A",11.6086956521739,1,"inverno",1205801,10.8,7.8,12.8,1.5,0.4,90.7,0.3,2.8,2.81602556806574,1.22480102072711,1.16619037896906,186.115503566285,1007.2,46.1,0.01,0.57,0.01,0.73,740299,4671390,542,568,1124
2016-01-31,2016,"IT0884A",7.78260869565217,1,"inverno",1205801,11.9,11.1,13.3,0.8,1.5,87.7,2.4,3.4,4.16173040933696,4.18930376911941,2.81602556806574,215.217592968193,998.8,58.8,0.74,0.76,0.1,0.84,740299,4671390,542,568,1125
2016-02-04,2016,"IT0884A",3.05217391304348,2,"inverno",1205801,8.1,5.3,11,0.4,3.1,61.9,1.3,-5.7,5.84636639289739,4.01162341112103,4.3081318457076,347.152295141282,997.7,113,1.01,1.42,0.05,1.94,740299,4671390,542,568,1129
