"date","reporting_year","station_eu_code","value","mese","stagione","station_code","t2m","tmin2m","tmax2m","tp","ptp","rh","u10m","v10m","wspeed","wspeed_max","pwspeed","wdir","sp","nirradiance","pbl00","pbl12","pblmin","pblmax","coordx","coordy","altitude","altitudedem","jd"
2016-01-01,2016,"IT0867A",38.9565217391304,1,"inverno",1205702,4.4,2.9,6.5,0,0,87.7,-0.3,0,0.3,1.32985109544769,0.608276253029822,90,932.1,33.4,0.03,0.3,0.01,0.6,817530,4701868,397,393,1095
2016-01-02,2016,"IT0867A",33.0434782608696,1,"inverno",1205702,4.5,2,6.8,11.8,0,95.9,-1.1,0.7,1.30384048104053,1.86496511679864,0.3,122.471192290848,926.5,11.7,0.03,0.21,0.03,0.46,817530,4701868,397,393,1096
2016-01-03,2016,"IT0867A",25.6086956521739,1,"inverno",1205702,4.4,0.4,6.5,13.6,11.8,98.5,0.3,0.4,0.5,2.14844808950996,1.30384048104053,216.869897645844,916.2,41.7,0.48,0.36,0.01,0.71,817530,4701868,397,393,1097
2016-01-04,2016,"IT0867A",41.1304347826087,1,"inverno",1205702,4.3,0.4,6.6,16.6,13.6,98.4,-0.5,1,1.11803398874989,1.33482288723056,0.5,153.434948822922,910.5,8.8,0.05,0.3,0.05,0.46,817530,4701868,397,393,1098
2016-01-05,2016,"IT0867A",38.695652173913,1,"inverno",1205702,5.5,3.8,6.9,3.1,16.6,96.9,-0.9,0.2,0.921954445729289,3.21613984447458,1.11803398874989,102.528807709152,910.1,10.6,0.07,0.09,0.02,0.1,817530,4701868,397,393,1099
2016-01-06,2016,"IT0867A",24.6521739130435,1,"inverno",1205702,4.5,2.2,6.7,13.5,3.1,97.8,0.2,0.9,0.921954445729289,1.88668805901985,0.921954445729289,192.528807709152,909.8,38.6,0.04,0.59,0.04,0.76,817530,4701868,397,393,1100
2016-01-07,2016,"IT0867A",33.4347826086956,1,"inverno",1205702,3.5,-1.6,6.6,1.1,13.5,84.9,-0.4,0.3,0.5,3.02791068052843,0.921954445729289,126.869897645844,914,71.4,0.02,0.34,0.02,0.59,817530,4701868,397,393,1101
2016-01-08,2016,"IT0867A",30.8695652173913,1,"inverno",1205702,7.4,4.7,10.2,1.7,1.1,93.7,-0.8,1,1.28062484748657,2.01180892727362,0.5,141.34019174591,919.1,29.8,0.09,0.33,0.06,0.57,817530,4701868,397,393,1102
2016-01-09,2016,"IT0867A",23.1304347826087,1,"inverno",1205702,9.3,7.7,11.8,1.6,1.7,91.7,-0.4,1.8,1.84390889145858,5.05830607569853,1.28062484748657,167.471192290848,919.9,49.2,0.5,0.78,0.4,1.01,817530,4701868,397,393,1103
2016-01-10,2016,"IT0867A",12.7391304347826,1,"inverno",1205702,8.5,7.6,10.2,14.6,1.6,95.6,0.7,2.1,2.21359436211787,1.23929822083973,1.84390889145858,198.434948822922,918.4,50,0.41,0.86,0.37,0.95,817530,4701868,397,393,1104
2016-01-11,2016,"IT0867A",13.3913043478261,1,"inverno",1205702,8.5,7.3,9.8,20,14.6,96.5,1.4,3.2,3.4928498393146,7.53575377675788,2.21359436211787,203.629377730657,916.9,47.8,0.63,1.12,0.62,1.2,817530,4701868,397,393,1105
2016-01-12,2016,"IT0867A",35.9130434782609,1,"inverno",1205702,5,2.8,6.6,8.8,20,94.6,0.9,1.2,1.5,2.37081020564442,3.4928498393146,216.869897645844,917.8,53.9,0.6,1.01,0.05,1.08,817530,4701868,397,393,1106
2016-01-13,2016,"IT0867A",30.5217391304348,1,"inverno",1205702,2.7,-1.1,6.7,2.8,8.8,90.5,-0.1,0.3,0.316227766016838,1.74000878860846,1.5,161.565051177078,923.5,70.1,0.1,0.57,0.02,0.59,817530,4701868,397,393,1107
2016-01-14,2016,"IT0867A",30.3478260869565,1,"inverno",1205702,1.8,-2.7,5,18.9,2.8,90.9,-0.8,1.2,1.4422205101856,2.33673401505923,0.316227766016838,146.30993247402,925,28,0.03,0.66,0.02,0.85,817530,4701868,397,393,1108
2016-01-15,2016,"IT0867A",35.8260869565217,1,"inverno",1205702,5.1,1.2,7,18.5,18.9,88.6,0.4,0.2,0.447213595499958,2.51133986446715,1.4422205101856,243.434948822922,916.7,50.5,0.71,0.79,0.03,0.82,817530,4701868,397,393,1109
2016-01-16,2016,"IT0867A",22.695652173913,1,"inverno",1205702,0,-3.2,3.7,0.2,18.5,75.3,-1.5,-1.9,2.42074368738204,3.71930504859631,0.447213595499958,38.2901631922431,914.8,64.7,0.04,1.31,0.04,1.48,817530,4701868,397,393,1110
2016-01-17,2016,"IT0867A",14.3913043478261,1,"inverno",1205702,-1.6,-4.2,1,0.9,0.2,68.5,-0.4,-2.4,2.43310501211929,3.661007320845,2.42074368738204,9.46232220802563,919.1,82.3,1.23,1.61,0.35,1.66,817530,4701868,397,393,1111
