"station_eu_code";"rmse_20";"rmse_80";"mse_20";"mse_80";"rsq_20";"rsq_80";"FAC2";"FB";"NMSE"
IT0643A;6.91630533584916;6.76916822467291;47.8352794986956;45.8216384539214;0.770306707861736;0.756113766288052;1;0.00548816587334364;0.0328019781792745
IT1114A;5.10998946167772;5.3432370874056;26.1119922984574;28.5501825722267;0.754785833574553;0.727151143787252;0.972222222222222;0.0213322399635187;0.0762963042706892
IT1120A;7.81093989372079;7.1107974940592;61.0107820233189;50.5634410015187;0.81410862946412;0.832896617908926;0.991549295774648;0.00733867136790018;0.0483808533720651
IT1130A;10.7551208648818;9.67632242769812;115.672624818216;93.6312157247736;0.743487410248317;0.757715632140822;0.980169971671388;0.0310273143802289;0.0828224115687259
IT1246A;4.37921548147816;3.98095167268261;19.177528233218;15.8479762202345;0.822435193368825;0.849908661685904;0.991379310344828;0.0149158660085898;0.0444644783513655
IT1509A;6.48337484281456;6.96516201463662;42.0341493524407;48.5134818901369;0.843892975378205;0.846739510991573;0.986111111111111;0.015566759123325;0.0413228063168296
IT1510A;5.80207433361367;5.08510892596303;33.6640665727785;25.8583327889089;0.80935845279196;0.860696322116455;1;0.0038963277795508;0.0462282043680886
IT1524A;4.78591589072144;4.57598127176285;22.90499091306;20.9396045995244;0.785912766164371;0.828468286766226;0.991428571428571;0.0123299603774087;0.0389493644897016
IT1529A;5.57700157385239;4.80040313793603;31.102946554752;23.0438702867061;0.757538841957882;0.784998681824177;0.994318181818182;0.0102079208044885;0.0477198933750314
IT1532A;3.48210412786147;3.2716258490491;12.1250491572699;10.7035356961662;0.862296733338979;0.874321349472477;0.977715877437326;0.00215017278037613;0.0427034630781567
IT1533A;6.80408578722234;6.08614521592343;46.2955833998811;37.0411635893076;0.815536294042188;0.838839433646746;0.994285714285714;0.00878175247624861;0.0483244587036684
IT1788A;6.78752873264716;6.45563913138523;46.0705462965107;41.6752765946722;0.772547495352634;0.805090238177073;0.965714285714286;0.00833464185635635;0.0674735162511146
IT1830A;5.08332731104745;5.25769945305087;25.8402165512409;27.6434035386114;0.857217688312909;0.853378150394871;0.994252873563218;0.00423508667762013;0.0317144761397625
IT1847A;4.81245076026321;4.55008018885769;23.159682319958;20.7032297250352;0.660373856697616;0.639869570915898;0.997222222222222;0.0257261073765271;0.0588081132233607
IT1877A;8.08405140023979;7.46824501126385;65.3518870417189;55.7746835482674;0.772138974555783;0.782620804143389;0.977272727272727;0.000253539913575902;0.0498988383716367
IT1904A;5.05596294923591;3.98368331420247;25.5627613440463;15.8697327478552;0.595765937595598;0.679512629988416;0.943019943019943;0.0159932811497583;0.174550084475654
IT1011A;7.12018507288898;7.09506746066682;50.6970354721911;50.3399822714131;0.555114481524863;0.627640207227586;0.942307692307692;0.0252463662982802;0.0731567878753037
IT1180A;7.8311898492156;7.23122712424098;61.3275344544575;52.2906457223584;0.534183385102475;0.594196910272541;0.893371757925072;0.0416365239407762;0.121142571243109
IT1182A;5.92955739999102;5.31364275616761;35.1596509597883;28.2347993401725;0.580788485092901;0.686084597470811;0.96078431372549;0.0025809376837629;0.0708270284952326
IT1365A;5.05426340907776;4.3964707270064;25.5455786083424;19.3289548534242;0.688747998954579;0.758557945883988;0.967032967032967;0.0128766303263988;0.0606417610306997
IT1728A;3.54381563349009;4.20517817612193;12.5586292441688;17.6835234929322;0.801926467717785;0.794234002900749;0.983471074380165;0.0439797585361533;0.0432355132903037
IT1860A;4.82202195643377;4.61472038507449;23.2518957483293;21.295644232422;0.696556704134636;0.735081463534899;1;0.00219632586671084;0.028023935591802
IT1900A;9.02071189901305;8.50210457769259;81.3732431649956;72.2857822500213;0.649990622941718;0.677460241031656;0.964187327823691;0.00973833803216453;0.0910529478193005
IT1901A;4.81050790106125;5.26344724481769;23.1409862661727;27.7038768989789;0.78440047861405;0.75997804378735;0.952908587257618;0.049024409120126;0.0641584948014527
IT1902A;4.47292024280554;4.68341741581528;20.0070154984996;21.9343986907619;0.646378866042783;0.646805062399571;0.909859154929577;0.0190804299637406;0.13214166075951
