lockL3,lockL4,lockL5,lockL6,station_eu_code
-0.20849053368976767,NA,NA,NA,IT0267A
-0.3153025268037043,-0.4299317792640329,-0.3530338752842844,-0.19568846344479118,IT0477A
-0.24242522107626918,-0.56820238415198,NA,NA,IT0594A
-0.20247760111208468,-0.30722981031347785,-0.33318292951565587,-0.2189478714285651,IT0709A
-0.3515056790572235,-0.36586546190848357,NA,NA,IT0732A
NA,0.23796707433946773,NA,-0.4059466776881545,IT0741A
-0.3811713995049866,-0.4226183416363326,NA,NA,IT0742A
NA,NA,NA,NA,IT0761A
-0.391469365981739,-0.5778304083767463,-0.4310516644978757,-0.21808275875987126,IT0771A
-0.19898446063586672,NA,NA,NA,IT0775A
-0.30077044154140187,-0.48754499756917624,-0.35138747622478184,-0.23108396274233,IT0776A
-0.26394180833535064,-0.45077085554551233,-0.24265420514859515,NA,IT0777A
-0.22157386030067472,-0.30902706735898133,-0.23255939825976912,NA,IT0778A
NA,-0.29274525908127835,NA,NA,IT0837A
-0.21633383969884834,-0.238718191088364,NA,-0.289933937717859,IT0839A
-0.1631314150257126,NA,0.6686311777781104,0.23760488219429887,IT0842A
NA,-0.18803049081181755,NA,NA,IT0846A
-0.45215119391766023,-0.5073567403723898,-0.33683352597085536,NA,IT0906A
-0.22671426002476214,-0.387948750471793,NA,NA,IT0908A
-0.2698421095567298,NA,NA,NA,IT0912A
-0.39299140235615593,-0.5085257469629016,-0.3716605839755738,-0.2468055777975976,IT0997A
-0.3076748711830004,-0.39085090084232865,-0.2688166055684835,NA,IT1016A
-0.20460957586110495,-0.30542488945787816,-0.21766296314794042,NA,IT1104A
-0.16177117437470068,-0.14967709296565834,NA,NA,IT1174A
-0.45531014599376485,-0.4180899943641516,NA,NA,IT1190A
-0.22996160305917124,-0.23113395289338046,NA,NA,IT1203A
-0.3185882337720367,-0.5013777175386599,-0.3070753129629742,NA,IT1251A
-0.19362655295412545,-0.27204109101083607,-0.2789488715304538,NA,IT1286A
-0.31743608454785255,-0.2451838913637775,NA,NA,IT1287A
-0.2970802737439703,-0.3626098228503911,NA,0.3519845466570115,IT1392A
-0.41572523341841316,-0.3389033903512825,NA,NA,IT1459A
-0.20491947517106113,-0.5802684278035615,-0.20258889252927015,NA,IT1588A
NA,NA,NA,NA,IT1646A
-0.21011389047102225,-0.4113854213806827,-0.41076160116074123,NA,IT1650A
-0.21894978598162906,-0.38730474810231885,-0.41793026091232477,NA,IT1692A
-0.16659567178103185,NA,NA,NA,IT1734A
NA,NA,NA,NA,IT1735A
-0.28642859818689403,NA,NA,NA,IT1736A
-0.2033777892389833,NA,NA,NA,IT1739A
-0.3331595635428243,NA,NA,NA,IT1746A
-0.3412078086272716,-0.44033873925162303,NA,NA,IT1826A
NA,0.2190558136651266,0.48786878067784945,0.2697869658851184,IT1865A
-0.19672077336334315,NA,NA,NA,IT1868A
-0.15185320427779825,NA,NA,NA,IT1869A
-0.18261158508685926,-0.3121284394732522,NA,NA,IT1873A
-0.19612687568386733,-0.44154395061889573,NA,0.33580540485136057,IT1876A
-0.2694166856624205,NA,NA,NA,IT1964A
-0.18434476821151813,NA,NA,NA,IT1965A
-0.37330956062070064,-0.34220234234129665,NA,NA,IT2007A
-0.19360720076606774,NA,NA,NA,IT2230A
-0.35599231931264974,-0.4134471672155535,-0.4158488013093954,-0.28040591065661646,IT2232A
