"data","variable","value"
2020-06-23,"IT1176A",12
2020-06-24,"IT1176A",16
2020-06-25,"IT1176A",20
2020-06-26,"IT1176A",20
2020-06-27,"IT1176A",20
2020-06-28,"IT1176A",21
2020-06-29,"IT1176A",20
2020-06-30,"IT1176A",19
2020-01-01,"IT0825A",66
2020-01-02,"IT0825A",50
2020-01-03,"IT0825A",54
2020-01-04,"IT0825A",47
2020-01-05,"IT0825A",32
2020-01-06,"IT0825A",13
2020-01-07,"IT0825A",38
2020-01-08,"IT0825A",54
2020-01-09,"IT0825A",58
2020-01-10,"IT0825A",55
2020-01-11,"IT0825A",56
2020-01-12,"IT0825A",44
2020-01-13,"IT0825A",44
2020-01-14,"IT0825A",52
2020-01-15,"IT0825A",53
2020-01-16,"IT0825A",59
2020-01-17,"IT0825A",54
2020-01-18,"IT0825A",38
2020-01-19,"IT0825A",20
2020-01-20,"IT0825A",14
2020-01-21,"IT0825A",30
2020-01-22,"IT0825A",46
2020-01-23,"IT0825A",50
2020-01-24,"IT0825A",56
2020-01-25,"IT0825A",39
2020-01-26,"IT0825A",33
2020-01-27,"IT0825A",35
2020-01-28,"IT0825A",30
2020-01-29,"IT0825A",28
2020-01-30,"IT0825A",34
2020-01-31,"IT0825A",39
2020-02-01,"IT0825A",60
2020-02-02,"IT0825A",39
2020-02-03,"IT0825A",29
2020-02-04,"IT0825A",26
2020-02-05,"IT0825A",9
2020-02-06,"IT0825A",22
2020-02-07,"IT0825A",28
2020-02-08,"IT0825A",51
2020-02-09,"IT0825A",38
2020-02-10,"IT0825A",30
2020-02-11,"IT0825A",34
2020-02-12,"IT0825A",28
2020-02-13,"IT0825A",28
2020-02-14,"IT0825A",22
2020-02-15,"IT0825A",25
2020-02-16,"IT0825A",36
2020-02-17,"IT0825A",33
2020-02-18,"IT0825A",30
2020-02-19,"IT0825A",30
2020-02-20,"IT0825A",21
2020-02-21,"IT0825A",27
2020-02-22,"IT0825A",36
2020-02-23,"IT0825A",42
2020-02-24,"IT0825A",25
2020-02-25,"IT0825A",18
2020-02-26,"IT0825A",16
2020-02-27,"IT0825A",16
2020-02-28,"IT0825A",22
2020-02-29,"IT0825A",21
2020-03-01,"IT0825A",24
2020-03-02,"IT0825A",18
2020-03-03,"IT0825A",23
2020-03-04,"IT0825A",16
2020-03-05,"IT0825A",15
2020-03-06,"IT0825A",30
2020-03-07,"IT0825A",19
2020-03-08,"IT0825A",12
2020-03-09,"IT0825A",19
2020-03-10,"IT0825A",22
2020-03-11,"IT0825A",29
2020-03-12,"IT0825A",21
2020-03-13,"IT0825A",24
