"data","variable","value"
2020-05-12,"IT1176A",-29.4166666666667
2020-05-13,"IT1176A",-23.7083333333333
2020-05-14,"IT1176A",-9.29166666666667
2020-05-15,"IT1176A",-29.2916666666667
2020-05-16,"IT1176A",-19.7916666666667
2020-05-17,"IT1176A",-32.4583333333333
2020-05-18,"IT1176A",-11.6666666666667
2020-05-19,"IT1176A",-30.5
2020-05-20,"IT1176A",-25.25
2020-05-21,"IT1176A",-24.9583333333333
2020-05-22,"IT1176A",-275.375
2020-05-23,"IT1176A",-22
2020-05-24,"IT1176A",-25.7083333333333
2020-05-25,"IT1176A",-19.4583333333333
2020-05-26,"IT1176A",-11.125
2020-05-27,"IT1176A",-26.875
2020-05-28,"IT1176A",-23.2916666666667
2020-05-29,"IT1176A",-11.0833333333333
2020-05-30,"IT1176A",-11.75
2020-05-31,"IT1176A",-25.2916666666667
2020-06-01,"IT1176A",-20.7916666666667
2020-06-02,"IT1176A",-28.2083333333333
2020-06-03,"IT1176A",-19.7083333333333
2020-06-04,"IT1176A",-28.7083333333333
2020-06-05,"IT1176A",-20.3333333333333
2020-06-06,"IT1176A",-21.875
2020-06-07,"IT1176A",-30.7083333333333
2020-06-08,"IT1176A",-29.2083333333333
2020-06-09,"IT1176A",-25.4583333333333
2020-06-10,"IT1176A",-28.4166666666667
2020-06-11,"IT1176A",-1.20833333333333
2020-06-12,"IT1176A",-12.5416666666667
2020-06-13,"IT1176A",-12.0833333333333
2020-06-14,"IT1176A",-27.7916666666667
2020-06-15,"IT1176A",-17.75
2020-06-16,"IT1176A",-22.2916666666667
2020-06-17,"IT1176A",-20.8333333333333
2020-06-18,"IT1176A",-23.7916666666667
2020-06-19,"IT1176A",-10.625
2020-06-20,"IT1176A",-12.9583333333333
2020-06-21,"IT1176A",-25.3333333333333
2020-06-22,"IT1176A",-12.9583333333333
2020-06-23,"IT1176A",-11.5833333333333
2020-06-24,"IT1176A",-13.25
2020-06-25,"IT1176A",-6.04166666666667
2020-06-26,"IT1176A",-5.375
2020-06-27,"IT1176A",-0.333333333333333
2020-06-28,"IT1176A",-21.4583333333333
2020-06-29,"IT1176A",-19.7083333333333
2020-06-30,"IT1176A",-15.7916666666667
2020-01-01,"IT0825A",92.2916666666667
2020-01-02,"IT0825A",150.083333333333
2020-01-03,"IT0825A",167.833333333333
2020-01-04,"IT0825A",144.5
2020-01-05,"IT0825A",88.9583333333333
2020-01-06,"IT0825A",36.5416666666667
2020-01-07,"IT0825A",-198.041666666667
2020-01-08,"IT0825A",-139.333333333333
2020-01-09,"IT0825A",193.666666666667
2020-01-10,"IT0825A",170.166666666667
2020-01-11,"IT0825A",151.291666666667
2020-01-12,"IT0825A",104
2020-01-13,"IT0825A",148.083333333333
2020-01-14,"IT0825A",155.791666666667
2020-01-15,"IT0825A",170.25
2020-01-16,"IT0825A",191.416666666667
2020-01-17,"IT0825A",171.25
2020-01-18,"IT0825A",143.791666666667
2020-01-19,"IT0825A",45.9166666666667
2020-01-20,"IT0825A",66.25
2020-01-21,"IT0825A",146.875
2020-01-22,"IT0825A",159.041666666667
2020-01-23,"IT0825A",-583.583333333333
2020-01-24,"IT0825A",-354.416666666667
2020-01-25,"IT0825A",129.291666666667
2020-01-26,"IT0825A",84.3333333333333
2020-01-27,"IT0825A",125.708333333333
2020-01-28,"IT0825A",205.583333333333
2020-01-29,"IT0825A",166.25
2020-01-30,"IT0825A",180.958333333333
2020-01-31,"IT0825A",144.416666666667
2020-02-01,"IT0825A",152.833333333333
2020-02-02,"IT0825A",88.7083333333333
2020-02-03,"IT0825A",142.5
2020-02-04,"IT0825A",87.625
2020-02-05,"IT0825A",48.2083333333333
2020-02-06,"IT0825A",53.7083333333333
2020-02-07,"IT0825A",143.916666666667
2020-02-08,"IT0825A",144.083333333333
2020-02-09,"IT0825A",44.5
2020-02-10,"IT0825A",125.166666666667
2020-02-11,"IT0825A",134.041666666667
2020-02-12,"IT0825A",68.0416666666667
2020-02-13,"IT0825A",91.2083333333333
2020-02-14,"IT0825A",88.375
2020-02-15,"IT0825A",96.25
2020-02-16,"IT0825A",84.5416666666667
2020-02-17,"IT0825A",94.5416666666667
2020-02-18,"IT0825A",101.291666666667
2020-02-19,"IT0825A",87.1666666666667
2020-02-20,"IT0825A",119.958333333333
2020-02-21,"IT0825A",109
2020-02-22,"IT0825A",85.1666666666667
2020-02-23,"IT0825A",60.25
2020-02-24,"IT0825A",45.25
2020-02-25,"IT0825A",36.25
2020-02-26,"IT0825A",38.0833333333333
2020-02-27,"IT0825A",-68.3333333333333
2020-02-28,"IT0825A",70.9166666666667
2020-02-29,"IT0825A",39.25
2020-03-01,"IT0825A",-43.3333333333333
2020-03-02,"IT0825A",20.7916666666667
2020-03-03,"IT0825A",36.625
2020-03-04,"IT0825A",60.7916666666667
2020-03-05,"IT0825A",32.7083333333333
2020-03-06,"IT0825A",36.9583333333333
2020-03-07,"IT0825A",31.1666666666667
2020-03-08,"IT0825A",4.66666666666667
2020-03-09,"IT0825A",36.1666666666667
2020-03-10,"IT0825A",41.7916666666667
2020-03-11,"IT0825A",30.7916666666667
2020-03-12,"IT0825A",22.2916666666667
2020-03-13,"IT0825A",10.375
2020-03-14,"IT0825A",-3.41666666666667
2020-03-15,"IT0825A",-21.9583333333333
2020-03-16,"IT0825A",2.45833333333333
2020-03-17,"IT0825A",2.125
2020-03-18,"IT0825A",5.625
2020-03-19,"IT0825A",6.20833333333333
2020-03-20,"IT0825A",-386.75
2020-03-21,"IT0825A",-134.958333333333
2020-03-22,"IT0825A",-24.2916666666667
2020-03-23,"IT0825A",-24.5
2020-03-24,"IT0825A",-18.0416666666667
2020-03-25,"IT0825A",-17.9583333333333
2020-03-26,"IT0825A",2.75
2020-03-27,"IT0825A",10.2916666666667
2020-03-28,"IT0825A",-6.41666666666667
2020-03-29,"IT0825A",-20.3333333333333
2020-03-30,"IT0825A",-0.375
2020-03-31,"IT0825A",-7.91666666666667
2020-04-01,"IT0825A",-20.375
2020-04-02,"IT0825A",-6.58333333333333
2020-04-03,"IT0825A",-1.83333333333333
2020-04-04,"IT0825A",-14.1666666666667
2020-04-05,"IT0825A",-24.6666666666667
2020-04-06,"IT0825A",1.875
2020-04-07,"IT0825A",0.5
2020-04-08,"IT0825A",2.125
2020-04-09,"IT0825A",-12.4166666666667
2020-04-10,"IT0825A",4.5
2020-04-11,"IT0825A",-10.125
2020-04-12,"IT0825A",-24.2916666666667
2020-04-13,"IT0825A",-27.4583333333333
2020-04-14,"IT0825A",-136.875
2020-04-15,"IT0825A",-18.5416666666667
2020-04-16,"IT0825A",-3.91666666666667
2020-04-17,"IT0825A",-49.4166666666667
2020-04-18,"IT0825A",-21.7916666666667
2020-04-19,"IT0825A",-27.2916666666667
2020-04-20,"IT0825A",-99.0416666666667
2020-04-21,"IT0825A",7.95833333333333
2020-04-22,"IT0825A",-6.125
2020-04-23,"IT0825A",-2.16666666666667
2020-04-24,"IT0825A",-2
2020-04-25,"IT0825A",-25.1666666666667
2020-04-26,"IT0825A",-27
2020-04-27,"IT0825A",-7.375
2020-04-28,"IT0825A",-11.0416666666667
2020-04-29,"IT0825A",-8.04166666666667
2020-04-30,"IT0825A",-4.04166666666667
2020-05-01,"IT0825A",-29.1666666666667
2020-05-02,"IT0825A",-15.1666666666667
2020-05-03,"IT0825A",-28.2916666666667
2020-05-04,"IT0825A",8.16666666666667
2020-05-05,"IT0825A",14.6666666666667
2020-05-06,"IT0825A",5.83333333333333
2020-05-07,"IT0825A",1.04166666666667
2020-05-08,"IT0825A",14.2083333333333
2020-05-09,"IT0825A",2.625
2020-05-10,"IT0825A",-15.375
2020-05-11,"IT0825A",10.0833333333333
2020-05-12,"IT0825A",7.5
2020-05-13,"IT0825A",0.208333333333333
2020-05-14,"IT0825A",11.9583333333333
2020-05-15,"IT0825A",12.5
2020-05-16,"IT0825A",-5.54166666666667
2020-05-17,"IT0825A",-11.6666666666667
2020-05-18,"IT0825A",-194
2020-05-19,"IT0825A",1.29166666666667
2020-05-20,"IT0825A",-5.875
2020-05-21,"IT0825A",-7.54166666666667
2020-05-22,"IT0825A",13.9166666666667
2020-05-23,"IT0825A",11.0833333333333
2020-05-24,"IT0825A",-7.70833333333333
2020-05-25,"IT0825A",6.625
2020-05-26,"IT0825A",12.0416666666667
2020-05-27,"IT0825A",-5.79166666666667
2020-05-28,"IT0825A",11
2020-05-29,"IT0825A",20.875
2020-05-30,"IT0825A",10.375
2020-05-31,"IT0825A",-7.08333333333333
2020-06-01,"IT0825A",13.0416666666667
2020-06-02,"IT0825A",-3.33333333333333
2020-06-03,"IT0825A",11.2083333333333
2020-06-04,"IT0825A",-10.875
2020-06-05,"IT0825A",15.7916666666667
2020-06-06,"IT0825A",10.2083333333333
2020-06-07,"IT0825A",-17.9583333333333
2020-06-08,"IT0825A",-4.91666666666667
2020-06-09,"IT0825A",-647.291666666667
2020-06-10,"IT0825A",-911.041666666667
2020-06-11,"IT0825A",20.25
2020-06-12,"IT0825A",-57.5416666666667
2020-06-13,"IT0825A",-558.708333333333
2020-06-14,"IT0825A",-999
2020-06-15,"IT0825A",-120.625
2020-06-16,"IT0825A",7.91666666666667
2020-06-17,"IT0825A",10.625
2020-06-18,"IT0825A",7.5
2020-06-19,"IT0825A",28.5
2020-06-20,"IT0825A",-169.791666666667
2020-06-21,"IT0825A",-48.2916666666667
2020-06-22,"IT0825A",8.875
2020-06-23,"IT0825A",-207.875
2020-06-24,"IT0825A",-111.458333333333
2020-06-25,"IT0825A",-14.9166666666667
2020-06-26,"IT0825A",-61.0833333333333
2020-06-27,"IT0825A",-30.125
2020-06-28,"IT0825A",-86.375
2020-06-29,"IT0825A",-129.958333333333
2020-06-30,"IT0825A",8.41666666666667
2020-01-01,"IT0828A",205.5
2020-01-02,"IT0828A",296.375
2020-01-03,"IT0828A",192.583333333333
2020-01-04,"IT0828A",174
2020-01-05,"IT0828A",66.625
2020-01-06,"IT0828A",24.7916666666667
2020-01-07,"IT0828A",191.541666666667
2020-01-08,"IT0828A",251.125
2020-01-09,"IT0828A",233.083333333333
2020-01-10,"IT0828A",213.125
2020-01-11,"IT0828A",184.375
2020-01-12,"IT0828A",152.833333333333
2020-01-13,"IT0828A",216.041666666667
2020-01-14,"IT0828A",147.041666666667
2020-01-15,"IT0828A",179.458333333333
2020-01-16,"IT0828A",189.291666666667
2020-01-17,"IT0828A",147.708333333333
2020-01-18,"IT0828A",89.9583333333333
2020-01-19,"IT0828A",34.375
2020-01-20,"IT0828A",69.5833333333333
2020-01-21,"IT0828A",72.6666666666667
2020-01-22,"IT0828A",98.9583333333333
2020-01-23,"IT0828A",153.625
2020-01-24,"IT0828A",150.458333333333
2020-01-25,"IT0828A",92.3333333333333
2020-01-26,"IT0828A",59.5
2020-01-27,"IT0828A",94.375
2020-01-28,"IT0828A",37.5833333333333
2020-01-29,"IT0828A",145.625
2020-01-30,"IT0828A",98.5833333333333
2020-01-31,"IT0828A",129.25
2020-02-01,"IT0828A",83.125
2020-02-02,"IT0828A",45.0416666666667
2020-02-03,"IT0828A",76.375
2020-02-04,"IT0828A",45.3333333333333
2020-02-05,"IT0828A",-35.875
2020-02-06,"IT0828A",19.375
2020-02-07,"IT0828A",87.7083333333333
2020-02-08,"IT0828A",88.375
2020-02-09,"IT0828A",48.0833333333333
2020-02-10,"IT0828A",29.9583333333333
2020-02-11,"IT0828A",54.0833333333333
2020-02-12,"IT0828A",112.5
2020-02-13,"IT0828A",74.625
2020-02-14,"IT0828A",29.375
2020-02-15,"IT0828A",56.9166666666667
2020-02-16,"IT0828A",44.625
2020-02-17,"IT0828A",76.3333333333333
2020-02-18,"IT0828A",74.75
2020-02-19,"IT0828A",92.5
2020-02-20,"IT0828A",63.6666666666667
2020-02-21,"IT0828A",85.375
2020-02-22,"IT0828A",56.375
2020-02-23,"IT0828A",29.5416666666667
2020-02-24,"IT0828A",40.9166666666667
2020-02-25,"IT0828A",-145.333333333333
2020-02-26,"IT0828A",2.95833333333333
2020-02-27,"IT0828A",28.625
2020-02-28,"IT0828A",26
2020-02-29,"IT0828A",47.7083333333333
2020-03-01,"IT0828A",-4.08333333333333
2020-03-02,"IT0828A",18.9166666666667
2020-03-03,"IT0828A",4.875
2020-03-04,"IT0828A",31.375
2020-03-05,"IT0828A",29.7083333333333
2020-03-06,"IT0828A",-1.58333333333333
2020-03-07,"IT0828A",16.0416666666667
2020-03-08,"IT0828A",1.45833333333333
2020-03-09,"IT0828A",33.2083333333333
2020-03-10,"IT0828A",27.2083333333333
2020-03-11,"IT0828A",26.5416666666667
2020-03-12,"IT0828A",0.541666666666667
2020-03-13,"IT0828A",14.25
2020-03-14,"IT0828A",-356.708333333333
2020-03-15,"IT0828A",-19
2020-03-16,"IT0828A",0.375
2020-03-17,"IT0828A",7.83333333333333
2020-03-18,"IT0828A",12.3333333333333
2020-03-19,"IT0828A",12
2020-03-20,"IT0828A",10.1666666666667
2020-03-21,"IT0828A",7.5
2020-03-22,"IT0828A",-13.5416666666667
2020-03-23,"IT0828A",-23.2916666666667
2020-03-24,"IT0828A",-21.9583333333333
2020-03-25,"IT0828A",-14.3333333333333
2020-03-26,"IT0828A",10.9166666666667
2020-03-27,"IT0828A",8
2020-03-28,"IT0828A",-6.54166666666667
2020-03-29,"IT0828A",-18.9166666666667
2020-03-30,"IT0828A",-0.291666666666667
2020-03-31,"IT0828A",-8.58333333333333
2020-04-01,"IT0828A",-21.0833333333333
2020-04-02,"IT0828A",-100.958333333333
