"data","variable","value"
2020-01-09,"IT0956A",7.125
2020-01-10,"IT0956A",6.29166666666667
2020-01-11,"IT0956A",9.58333333333333
2020-01-12,"IT0956A",11.75
2020-01-13,"IT0956A",9.20833333333333
2020-01-14,"IT0956A",8.66666666666667
2020-01-15,"IT0956A",10.875
2020-01-16,"IT0956A",10.0416666666667
2020-01-17,"IT0956A",8.16666666666667
2020-01-18,"IT0956A",11.875
2020-01-19,"IT0956A",19.625
2020-01-20,"IT0956A",25.0833333333333
2020-01-21,"IT0956A",17.5833333333333
2020-01-22,"IT0956A",12.2083333333333
2020-01-23,"IT0956A",11.9166666666667
2020-01-24,"IT0956A",5.25
2020-01-25,"IT0956A",18.9166666666667
2020-01-26,"IT0956A",17.0416666666667
2020-01-27,"IT0956A",14.7083333333333
2020-01-28,"IT0956A",30.5
2020-01-29,"IT0956A",19.9166666666667
2020-01-30,"IT0956A",12.875
2020-01-31,"IT0956A",11.3333333333333
2020-02-01,"IT0956A",2.91666666666667
2020-02-02,"IT0956A",20.4583333333333
2020-02-03,"IT0956A",12.875
2020-02-04,"IT0956A",33.8333333333333
2020-02-05,"IT0956A",56.9583333333333
2020-02-06,"IT0956A",47.2916666666667
2020-02-07,"IT0956A",18.2916666666667
2020-02-08,"IT0956A",19.0833333333333
2020-02-09,"IT0956A",36.5
2020-02-10,"IT0956A",31.8333333333333
2020-02-11,"IT0956A",32.5
2020-02-12,"IT0956A",16.0833333333333
2020-02-13,"IT0956A",28.0833333333333
2020-02-14,"IT0956A",44.125
2020-02-15,"IT0956A",26.9166666666667
2020-02-16,"IT0956A",26.5416666666667
2020-02-17,"IT0956A",23.7916666666667
2020-02-18,"IT0956A",20.5833333333333
2020-02-19,"IT0956A",18.125
2020-02-20,"IT0956A",21.9583333333333
2020-02-21,"IT0956A",21.6666666666667
2020-02-22,"IT0956A",27.5833333333333
2020-02-23,"IT0956A",31.2083333333333
2020-02-24,"IT0956A",46.75
2020-02-25,"IT0956A",52.9166666666667
2020-02-26,"IT0956A",62.7083333333333
2020-02-27,"IT0956A",42.7916666666667
2020-02-28,"IT0956A",50.9583333333333
2020-02-29,"IT0956A",46.875
2020-03-01,"IT0956A",71.5
2020-03-02,"IT0956A",56.5416666666667
2020-03-03,"IT0956A",55.0833333333333
2020-03-04,"IT0956A",40.6666666666667
2020-03-05,"IT0956A",43.5416666666667
2020-03-06,"IT0956A",-467.833333333333
2020-03-07,"IT0956A",-519.791666666667
2020-03-08,"IT0956A",56.0416666666667
2020-03-09,"IT0956A",42.2916666666667
2020-03-10,"IT0956A",40.9166666666667
2020-03-11,"IT0956A",37.2083333333333
2020-03-12,"IT0956A",54.4166666666667
2020-03-13,"IT0956A",28.875
2020-03-14,"IT0956A",51.4166666666667
2020-03-15,"IT0956A",54.0416666666667
2020-03-16,"IT0956A",46
2020-03-17,"IT0956A",36.4166666666667
2020-03-18,"IT0956A",40.5416666666667
2020-03-19,"IT0956A",45.75
2020-03-20,"IT0956A",43.2083333333333
2020-03-21,"IT0956A",42.1666666666667
2020-03-22,"IT0956A",59.375
2020-03-23,"IT0956A",70.875
2020-03-24,"IT0956A",65.9166666666667
2020-03-25,"IT0956A",64.625
2020-03-26,"IT0956A",32.4583333333333
2020-03-27,"IT0956A",34.9583333333333
2020-03-28,"IT0956A",36.125
2020-03-29,"IT0956A",50.8333333333333
2020-03-30,"IT0956A",44.625
2020-03-31,"IT0956A",47.5833333333333
2020-04-01,"IT0956A",80.1666666666667
2020-04-02,"IT0956A",62
2020-04-03,"IT0956A",64.125
2020-04-04,"IT0956A",75.1666666666667
2020-04-05,"IT0956A",82.0833333333333
2020-04-06,"IT0956A",74.75
2020-04-07,"IT0956A",68.7916666666667
2020-04-08,"IT0956A",73.375
2020-04-09,"IT0956A",75.2083333333333
2020-04-10,"IT0956A",67.125
2020-04-11,"IT0956A",67.9583333333333
2020-04-12,"IT0956A",68.9166666666667
2020-04-13,"IT0956A",74.875
2020-04-14,"IT0956A",49
2020-04-15,"IT0956A",-23.7083333333333
2020-04-16,"IT0956A",55.1666666666667
2020-04-17,"IT0956A",53.5416666666667
2020-04-18,"IT0956A",56.6666666666667
2020-04-19,"IT0956A",59.375
2020-04-20,"IT0956A",38.2916666666667
2020-04-21,"IT0956A",34.0416666666667
2020-04-22,"IT0956A",22.4583333333333
2020-04-23,"IT0956A",36.625
2020-04-24,"IT0956A",56.2916666666667
2020-04-25,"IT0956A",68.9166666666667
2020-04-26,"IT0956A",61
2020-04-27,"IT0956A",52.5833333333333
2020-04-28,"IT0956A",58.6666666666667
2020-04-29,"IT0956A",68.7916666666667
2020-04-30,"IT0956A",58.1666666666667
2020-05-01,"IT0956A",78.5
2020-05-02,"IT0956A",63.4583333333333
2020-05-03,"IT0956A",56
2020-05-04,"IT0956A",71.6666666666667
2020-05-05,"IT0956A",59.6666666666667
2020-05-06,"IT0956A",56.4583333333333
2020-05-07,"IT0956A",79.4583333333333
2020-05-08,"IT0956A",71.1666666666667
2020-05-09,"IT0956A",73.4166666666667
2020-05-10,"IT0956A",81.5833333333333
2020-05-11,"IT0956A",69.2916666666667
2020-05-12,"IT0956A",63.4583333333333
2020-05-13,"IT0956A",60.7916666666667
2020-05-14,"IT0956A",58.2916666666667
2020-05-15,"IT0956A",75.7916666666667
2020-05-16,"IT0956A",56.375
2020-05-17,"IT0956A",75.4166666666667
2020-05-18,"IT0956A",46.25
2020-05-19,"IT0956A",73.3333333333333
2020-05-20,"IT0956A",58.6666666666667
2020-05-21,"IT0956A",80.625
2020-05-22,"IT0956A",79.7083333333333
2020-05-23,"IT0956A",76.0416666666667
2020-05-24,"IT0956A",69.9583333333333
2020-05-25,"IT0956A",69.75
2020-05-26,"IT0956A",68.9583333333333
2020-05-27,"IT0956A",75.9583333333333
2020-05-28,"IT0956A",74.9166666666667
2020-05-29,"IT0956A",51.25
2020-05-30,"IT0956A",-477.75
2020-05-31,"IT0956A",-410.125
2020-06-01,"IT0956A",67.5416666666667
2020-06-02,"IT0956A",73.625
2020-06-03,"IT0956A",68.5416666666667
2020-06-04,"IT0956A",80.5416666666667
2020-06-05,"IT0956A",66.7916666666667
2020-06-06,"IT0956A",53.7083333333333
2020-06-07,"IT0956A",54.375
2020-06-08,"IT0956A",67.6666666666667
2020-06-09,"IT0956A",70.9166666666667
2020-06-10,"IT0956A",72.375
2020-06-11,"IT0956A",41.875
2020-06-12,"IT0956A",51.375
2020-06-13,"IT0956A",46.625
2020-06-14,"IT0956A",61
2020-06-15,"IT0956A",58.7916666666667
2020-06-16,"IT0956A",58.5
2020-06-17,"IT0956A",60.9583333333333
2020-06-18,"IT0956A",57.625
2020-06-19,"IT0956A",51.875
2020-06-20,"IT0956A",58.0833333333333
2020-06-21,"IT0956A",74.0416666666667
2020-06-22,"IT0956A",62.4583333333333
2020-06-23,"IT0956A",75.2916666666667
2020-06-24,"IT0956A",-5.5
2020-06-25,"IT0956A",25.7083333333333
2020-06-26,"IT0956A",71.2916666666667
2020-06-27,"IT0956A",71.2083333333333
2020-06-28,"IT0956A",71.25
2020-06-29,"IT0956A",62.125
2020-06-30,"IT0956A",52
2020-01-01,"IT0888A",14.9166666666667
2020-01-02,"IT0888A",11.4166666666667
2020-01-03,"IT0888A",13.125
2020-01-04,"IT0888A",15.5833333333333
2020-01-05,"IT0888A",20.2083333333333
2020-01-06,"IT0888A",26.5833333333333
2020-01-07,"IT0888A",8.875
2020-01-08,"IT0888A",-664.75
2020-01-09,"IT0888A",-532
2020-01-10,"IT0888A",14.5416666666667
2020-01-11,"IT0888A",11.8333333333333
2020-01-12,"IT0888A",16.9166666666667
2020-01-13,"IT0888A",14.7916666666667
