"data","station_eu_code","value"
2020-05-10,"IT1176A",-29.8333333333333
2020-05-11,"IT1176A",-27
2020-05-12,"IT1176A",-29.7916666666667
2020-05-13,"IT1176A",-24.5416666666667
2020-05-14,"IT1176A",-16.375
2020-05-15,"IT1176A",-29.5
2020-05-16,"IT1176A",-20.6666666666667
2020-05-17,"IT1176A",-32.5
2020-05-18,"IT1176A",-13.6666666666667
2020-05-19,"IT1176A",-30.625
2020-05-20,"IT1176A",-25.3333333333333
2020-05-21,"IT1176A",-25.2083333333333
2020-05-22,"IT1176A",-276.041666666667
2020-05-23,"IT1176A",-23.7916666666667
2020-05-24,"IT1176A",-26.9583333333333
2020-05-25,"IT1176A",-25
2020-05-26,"IT1176A",-18.0833333333333
2020-05-27,"IT1176A",-28
2020-05-28,"IT1176A",-25.4166666666667
2020-05-29,"IT1176A",-13.3333333333333
2020-05-30,"IT1176A",-16.125
2020-05-31,"IT1176A",-27.2916666666667
2020-06-01,"IT1176A",-25
2020-06-02,"IT1176A",-30.75
2020-06-03,"IT1176A",-25.25
2020-06-04,"IT1176A",-32.7916666666667
2020-06-05,"IT1176A",-26.125
2020-06-06,"IT1176A",-27.3333333333333
2020-06-07,"IT1176A",-33.2083333333333
2020-06-08,"IT1176A",-32.9166666666667
2020-06-09,"IT1176A",-30.0416666666667
2020-06-10,"IT1176A",-30.375
2020-06-11,"IT1176A",-13.5416666666667
2020-06-12,"IT1176A",-21.3333333333333
2020-06-13,"IT1176A",-18.6666666666667
2020-06-14,"IT1176A",-31.75
2020-06-15,"IT1176A",-24.6666666666667
2020-06-16,"IT1176A",-27.9583333333333
2020-06-17,"IT1176A",-24.875
2020-06-18,"IT1176A",-29.5
2020-06-19,"IT1176A",-18.5
2020-06-20,"IT1176A",-18.3333333333333
2020-06-21,"IT1176A",-25.6666666666667
2020-06-22,"IT1176A",-16.1666666666667
2020-06-23,"IT1176A",-15.6666666666667
2020-06-24,"IT1176A",-16.8333333333333
2020-06-25,"IT1176A",-10.9166666666667
2020-06-26,"IT1176A",-12.4166666666667
2020-06-27,"IT1176A",-7.45833333333333
2020-06-28,"IT1176A",-24
2020-06-29,"IT1176A",-26.0416666666667
2020-06-30,"IT1176A",-25.875
2020-01-01,"IT0825A",4.375
2020-01-02,"IT0825A",14.875
2020-01-03,"IT0825A",17.125
2020-01-04,"IT0825A",6.91666666666667
2020-01-05,"IT0825A",8.41666666666667
2020-01-06,"IT0825A",3.375
2020-01-07,"IT0825A",-290.5
2020-01-08,"IT0825A",-279.541666666667
2020-01-09,"IT0825A",19.7916666666667
2020-01-10,"IT0825A",21.1666666666667
2020-01-11,"IT0825A",15.7916666666667
2020-01-12,"IT0825A",8.58333333333333
2020-01-13,"IT0825A",16
2020-01-14,"IT0825A",18.5416666666667
2020-01-15,"IT0825A",18.3333333333333
2020-01-16,"IT0825A",17.2083333333333
2020-01-17,"IT0825A",20.0416666666667
2020-01-18,"IT0825A",25.125
2020-01-19,"IT0825A",2
2020-01-20,"IT0825A",12.5
2020-01-21,"IT0825A",22.4583333333333
2020-01-22,"IT0825A",19.5833333333333
2020-01-23,"IT0825A",-606.958333333333
2020-01-24,"IT0825A",-452.458333333333
2020-01-25,"IT0825A",19.5416666666667
2020-01-26,"IT0825A",5.20833333333333
2020-01-27,"IT0825A",18.2083333333333
2020-01-28,"IT0825A",37.3333333333333
2020-01-29,"IT0825A",19.0833333333333
2020-01-30,"IT0825A",23.125
2020-01-31,"IT0825A",23.0833333333333
2020-02-01,"IT0825A",15.25
2020-02-02,"IT0825A",13.0416666666667
2020-02-03,"IT0825A",16.7083333333333
2020-02-04,"IT0825A",13.2083333333333
2020-02-05,"IT0825A",6.25
2020-02-06,"IT0825A",8.54166666666667
2020-02-07,"IT0825A",22.7083333333333
2020-02-08,"IT0825A",23.8333333333333
2020-02-09,"IT0825A",4.58333333333333
2020-02-10,"IT0825A",28.4583333333333
2020-02-11,"IT0825A",16.5
2020-02-12,"IT0825A",14.375
2020-02-13,"IT0825A",16.0833333333333
2020-02-14,"IT0825A",19.3333333333333
2020-02-15,"IT0825A",16.2083333333333
2020-02-16,"IT0825A",12.7083333333333
2020-02-17,"IT0825A",19.9583333333333
2020-02-18,"IT0825A",17.875
2020-02-19,"IT0825A",13.0416666666667
2020-02-20,"IT0825A",18.4166666666667
2020-02-21,"IT0825A",18.5
2020-02-22,"IT0825A",15.9166666666667
2020-02-23,"IT0825A",7.41666666666667
2020-02-24,"IT0825A",13.2916666666667
2020-02-25,"IT0825A",6.08333333333333
2020-02-26,"IT0825A",8.45833333333333
2020-02-27,"IT0825A",-123.25
2020-02-28,"IT0825A",7.45833333333333
2020-02-29,"IT0825A",-1.70833333333333
2020-03-01,"IT0825A",-53.9166666666667
2020-03-02,"IT0825A",-8.45833333333333
2020-03-03,"IT0825A",-3.29166666666667
2020-03-04,"IT0825A",0.0416666666666667
2020-03-05,"IT0825A",-6.16666666666667
2020-03-06,"IT0825A",0.333333333333333
2020-03-07,"IT0825A",-6.29166666666667
2020-03-08,"IT0825A",-13.375
2020-03-09,"IT0825A",-1.20833333333333
2020-03-10,"IT0825A",-2.79166666666667
2020-03-11,"IT0825A",-8.25
2020-03-12,"IT0825A",-10.625
2020-03-13,"IT0825A",-13.0833333333333
2020-03-14,"IT0825A",-17.9166666666667
2020-03-15,"IT0825A",-28.2916666666667
2020-03-16,"IT0825A",-16.875
2020-03-17,"IT0825A",-16.1666666666667
2020-03-18,"IT0825A",-15.4166666666667
2020-03-19,"IT0825A",-14.4583333333333
2020-03-20,"IT0825A",-400.166666666667
2020-03-21,"IT0825A",-21.1666666666667
2020-03-22,"IT0825A",-28.4166666666667
2020-03-23,"IT0825A",-33.7083333333333
