"date","reporting_year","station_eu_code","value","mese","stagione","station_code","t2m","tmin2m","tmax2m","tp","ptp","rh","u10m","v10m","wspeed","wspeed_max","pwspeed","wdir","sp","nirradiance","pbl00","pbl12","pblmin","pblmax","coordx","coordy","altitude","altitudedem","jd"
2016-01-01,2016,"IT0992A",11.7826086956522,1,"inverno",1206005,3.3,1.1,6.6,0.1,0,88.7,-0.2,-0.4,0.447213595499958,1.32985109544769,0.894427190999916,26.565051177078,936.3,37.2,0.03,0.62,0.01,0.78,889171,4623705,388,389,1095
2016-01-02,2016,"IT0992A",13.7826086956522,1,"inverno",1206005,2.5,-2.1,5.4,7.2,0.1,97,-0.6,-0.2,0.632455532033676,1.86496511679864,0.447213595499958,71.565051177078,931.7,17.9,0.01,0.12,0.01,0.13,889171,4623705,388,389,1096
2016-01-03,2016,"IT0992A",5.69565217391304,1,"inverno",1206005,4.7,2.4,7.2,7.8,7.2,95.3,0.4,-0.2,0.447213595499958,2.14844808950996,0.632455532033676,296.565051177078,920.3,52.9,0.05,0.68,0.02,0.68,889171,4623705,388,389,1097
2016-01-04,2016,"IT0992A",11.1739130434783,1,"inverno",1206005,4.3,0.8,6.3,7.4,7.8,97.8,-0.1,-0.1,0.14142135623731,1.33482288723056,0.447213595499958,45,915.2,12.5,0.08,0.1,0.02,0.12,889171,4623705,388,389,1098
2016-01-05,2016,"IT0992A",13.3478260869565,1,"inverno",1206005,6.4,4.6,7.8,2.9,7.4,96,-0.3,-0.2,0.360555127546399,3.21613984447458,0.14142135623731,56.3099324740202,914.4,12.7,0.03,0.1,0.01,0.11,889171,4623705,388,389,1099
2016-01-06,2016,"IT0992A",6.1304347826087,1,"inverno",1206005,5.1,2,7.6,7.6,2.9,95.1,0.3,0.3,0.424264068711929,1.88668805901985,0.360555127546399,225,914.1,31.8,0.02,1.25,0.01,1.25,889171,4623705,388,389,1100
2016-01-07,2016,"IT0992A",7.43478260869565,1,"inverno",1206005,3.4,-1.9,7.6,0.6,7.6,83.3,0.3,-0.5,0.58309518948453,3.02791068052843,0.424264068711929,329.036243467927,917.9,83.3,0.14,0.44,0.03,0.86,889171,4623705,388,389,1101
2016-01-08,2016,"IT0992A",12.4782608695652,1,"inverno",1206005,6.6,2.6,10.3,0.9,0.6,94.2,0,-0.1,0.1,2.01180892727362,0.58309518948453,360,923.7,57.1,0.04,0.27,0.01,0.37,889171,4623705,388,389,1102
2016-01-09,2016,"IT0992A",6.34782608695652,1,"inverno",1206005,8.9,7.5,11.5,1.3,0.9,96.2,-0.4,0.9,0.98488578017961,5.05830607569853,0.1,156.037511025422,925.2,48.8,0.05,0.45,0.05,0.45,889171,4623705,388,389,1103
2016-01-10,2016,"IT0992A",4.21739130434783,1,"inverno",1206005,8.8,7.2,11.4,9.7,1.3,94.9,0.6,0.8,1,1.23929822083973,0.98488578017961,216.869897645844,923.3,58.4,0.11,1.08,0.05,1.08,889171,4623705,388,389,1104
2016-01-11,2016,"IT0992A",7.65217391304348,1,"inverno",1206005,8.6,7.2,10.4,9,9.7,97.7,0.8,1.4,1.61245154965971,7.53575377675788,1,209.744881296942,922.6,41.9,0.15,0.61,0.1,1.16,889171,4623705,388,389,1105
2016-01-12,2016,"IT0992A",4.52173913043478,1,"inverno",1206005,5.7,3.5,7.9,5,9,94,0.9,0.5,1.0295630140987,2.37081020564442,1.61245154965971,240.945395900923,922.4,62.7,0.34,1.12,0.04,1.37,889171,4623705,388,389,1106
2016-01-13,2016,"IT0992A",6.52173913043478,1,"inverno",1206005,3.8,0.4,7.3,0.4,5,87.6,0.7,-0.6,0.921954445729289,1.74000878860846,1.0295630140987,310.601294645004,927.5,73.1,0.06,0.81,0.02,0.88,889171,4623705,388,389,1107
2016-01-14,2016,"IT0992A",9.78260869565217,1,"inverno",1206005,2.7,-1.1,6.2,8.6,0.4,90.5,-0.1,0.3,0.316227766016838,2.33673401505923,0.921954445729289,161.565051177078,930.1,55.5,0.01,0.59,0.01,0.75,889171,4623705,388,389,1108
2016-01-15,2016,"IT0992A",9,1,"inverno",1206005,6,3.7,8.9,17,8.6,93.1,0.3,0.6,0.670820393249937,2.51133986446715,0.316227766016838,206.565051177078,920.9,53.6,0.18,0.34,0.02,0.85,889171,4623705,388,389,1109
2016-01-16,2016,"IT0992A",5.21739130434783,1,"inverno",1206005,1.7,-0.9,4.4,0.7,17,80.7,-0.6,-1.6,1.70880074906351,3.71930504859631,0.670820393249937,20.5560452195835,917.5,62.4,0.05,1.09,0.05,1.32,889171,4623705,388,389,1110
2016-01-17,2016,"IT0992A",2.73913043478261,1,"inverno",1206005,-2.4,-5.9,0.8,0.2,0.7,73.1,0.1,-2,2.00249843945008,3.661007320845,1.70880074906351,357.137594773888,921,91.2,0.94,1.69,0.12,1.69,889171,4623705,388,389,1111
2016-01-18,2016,"IT0992A",4.82608695652174,1,"inverno",1206005,-4.9,-9.6,0.2,0.1,0.2,72.1,-0.4,-1.5,1.552417469626,1.12689735833336,2.00249843945008,14.9314171781376,927,97.6,0.1,0.81,0.01,1.04,889171,4623705,388,389,1112
2016-01-19,2016,"IT0992A",9.47826086956522,1,"inverno",1206005,-6.3,-12.6,2.1,0,0.1,67.8,-1,-1.2,1.56204993518133,1.56541099661151,1.552417469626,39.8055710922652,926.4,91.4,0.01,0.33,0.01,0.58,889171,4623705,388,389,1113
2016-01-20,2016,"IT0992A",10.695652173913,1,"inverno",1206005,-4.4,-12.6,4.2,0,0,64.7,-0.5,-0.9,1.0295630140987,1.61125801125562,1.56204993518133,29.0546040990772,928.6,99.3,0.02,0.32,0.01,0.53,889171,4623705,388,389,1114
2016-01-21,2016,"IT0992A",11.2173913043478,1,"inverno",1206005,1.5,-3.7,7,0.7,0,82.1,-0.7,-0.7,0.989949493661166,2.40706189715983,1.0295630140987,45,931.4,59.1,0.01,0.54,0.01,0.66,889171,4623705,388,389,1115
2016-01-22,2016,"IT0992A",9.34782608695652,1,"inverno",1206005,1.5,-4,7,0,0.7,79.2,-0.6,-0.9,1.0816653826392,1.60344064986145,0.989949493661166,33.6900675259798,938.9,82.3,0.03,0.56,0.02,1.11,889171,4623705,388,389,1116
2016-01-23,2016,"IT0992A",12.0869565217391,1,"inverno",1206005,1.4,-3.2,6.5,0.3,0,85.2,-0.1,-0.7,0.707106781186547,1.77036398594385,1.0816653826392,8.13010235415601,941.7,76.7,0.03,0.44,0.01,0.76,889171,4623705,388,389,1117
2016-01-24,2016,"IT0992A",8,1,"inverno",1206005,2,-4,8.6,0,0.3,77.2,-0.4,-1.1,1.17046999107196,1.93251810996488,0.707106781186547,19.9831065219,944.2,97.8,0.03,0.62,0.01,0.98,889171,4623705,388,389,1118
2016-01-25,2016,"IT0992A",12.9565217391304,1,"inverno",1206005,3.8,-2.5,9.6,0,0,65,0,-0.9,0.9,2.34404946760725,1.17046999107196,360,943.4,99.8,0.01,0.37,0.01,0.56,889171,4623705,388,389,1119
