"date","reporting_year","station_eu_code","value","mese","stagione","station_code","t2m","tmin2m","tmax2m","tp","ptp","rh","u10m","v10m","wspeed","wspeed_max","pwspeed","wdir","sp","nirradiance","pbl00","pbl12","pblmin","pblmax","coordx","coordy","altitude","altitudedem","jd"
2016-01-01,2016,"IT1836A",55.5652173913044,1,"inverno",1205883,9.3,7.6,11.5,0.4,0.3,87.1,-1.8,0.4,1.84390889145858,1.32985109544769,1.4560219778561,102.528807709152,1015.1,41.2,0.05,0.37,0.05,0.6,785951,4645132,31,30,1095
2016-01-02,2016,"IT1836A",58.8260869565217,1,"inverno",1205883,9.8,7.6,11.8,9,0.4,89.1,-2.8,2.4,3.68781778291715,1.86496511679864,1.84390889145858,130.601294645004,1008.5,17,0.06,0.4,0.06,0.55,785951,4645132,31,30,1096
2016-01-03,2016,"IT1836A",38.6521739130435,1,"inverno",1205883,10.2,6.7,12,9.8,9,90.6,2.2,-1,2.41660919471891,2.14844808950996,3.68781778291715,294.443954780417,998.1,54.4,0.42,0.74,0.03,0.86,785951,4645132,31,30,1097
2016-01-04,2016,"IT1836A",76.2173913043478,1,"inverno",1205883,10.5,7,13.2,11.8,9.8,92.6,1.1,1.4,1.78044938147649,1.33482288723056,2.41660919471891,218.157226587369,991.3,12.9,0.06,0.46,0.06,0.46,785951,4645132,31,30,1098
2016-01-05,2016,"IT1836A",68.1739130434783,1,"inverno",1205883,10.5,9.3,12.2,4,11.8,94,-0.6,0.4,0.721110255092798,3.21613984447458,1.78044938147649,123.69006752598,990.3,14.5,0.1,0.09,0.02,0.11,785951,4645132,31,30,1099
2016-01-06,2016,"IT1836A",NA,1,"inverno",1205883,9.7,6.7,11.2,10.7,4,91.3,2.4,0.2,2.40831891575846,1.88668805901985,0.721110255092798,265.236358309274,991.1,51.5,0.05,0.65,0.05,1.09,785951,4645132,31,30,1100
2016-01-07,2016,"IT1836A",NA,1,"inverno",1205883,8.8,4.4,11.8,0.5,10.7,88.5,-0.4,0,0.4,3.02791068052843,2.40831891575846,90,995.6,72.9,0.05,0.28,0.03,0.41,785951,4645132,31,30,1101
2016-01-08,2016,"IT1836A",60.4782608695652,1,"inverno",1205883,12.3,8.1,15.3,0.8,0.5,92.9,-1.3,2.1,2.46981780704569,2.01180892727362,0.4,148.240519915187,999.7,44.9,0.07,0.55,0.04,0.68,785951,4645132,31,30,1102
2016-01-09,2016,"IT1836A",37.2173913043478,1,"inverno",1205883,13.7,12.5,15.5,0.8,0.8,93,-2.3,3.5,4.18807831827438,5.05830607569853,2.46981780704569,146.689369175439,1000.4,51.4,0.31,0.8,0.19,0.92,785951,4645132,31,30,1103
2016-01-10,2016,"IT1836A",48,1,"inverno",1205883,14.1,13.2,15.7,6.5,0.8,89.6,1.9,3.3,3.80788655293195,1.23929822083973,4.18807831827438,209.931511840508,999.2,68,0.31,0.93,0.21,1.12,785951,4645132,31,30,1104
2016-01-11,2016,"IT1836A",39.2173913043478,1,"inverno",1205883,14.3,13,15.9,2.7,6.5,86.8,2.5,4.9,5.50090901579003,7.53575377675788,3.80788655293195,207.030860259843,998.1,56.2,0.27,1.05,0.27,1.34,785951,4645132,31,30,1105
2016-01-12,2016,"IT1836A",56.6086956521739,1,"inverno",1205883,12.3,10.4,13.3,0.7,2.7,74.7,5.3,1.6,5.53624421426656,2.37081020564442,5.50090901579003,253.201628218695,999.5,71.1,0.56,1.73,0.12,1.73,785951,4645132,31,30,1106
2016-01-13,2016,"IT1836A",63.3913043478261,1,"inverno",1205883,9.9,7.1,12.2,0.9,0.7,73.6,2.9,-1.2,3.13847096529504,1.74000878860846,5.53624421426656,292.479434397103,1006.1,66.8,0.09,0.71,0.06,0.94,785951,4645132,31,30,1107
