"date","reporting_year","station_eu_code","value","mese","stagione","station_code","t2m","tmin2m","tmax2m","tp","ptp","rh","u10m","v10m","wspeed","wspeed_max","pwspeed","wdir","sp","nirradiance","pbl00","pbl12","pblmin","pblmax","coordx","coordy","altitude","altitudedem","jd"
2016-01-01,2016,"IT1841A",59.7826086956522,1,"inverno",1205886,8.4,6.8,10.8,0.2,0.1,86.8,-1.7,0.4,1.7464249196573,1.32985109544769,1.41421356237309,103.240519915187,999.3,39.6,0.16,0.4,0.16,0.54,799684,4633616,134,133,1095
2016-01-02,2016,"IT1841A",24.7391304347826,1,"inverno",1205886,8.5,6,10.6,6.1,0.2,88.3,-2.8,1.4,3.13049516849971,1.86496511679864,1.7464249196573,116.565051177078,993.2,17.9,0.17,0.49,0.17,0.56,799684,4633616,134,133,1096
2016-01-03,2016,"IT1841A",33.2608695652174,1,"inverno",1205886,9.3,5.6,10.9,11.7,6.1,92.3,1.6,-0.8,1.78885438199983,2.14844808950996,3.13049516849971,296.565051177078,982.7,54.8,0.42,0.9,0.06,1.02,799684,4633616,134,133,1097
2016-01-04,2016,"IT1841A",36.9130434782609,1,"inverno",1205886,9,5.7,12.2,11.9,11.7,94,0,0.9,0.9,1.33482288723056,1.78885438199983,180,976.2,11.4,0.1,0.58,0.1,0.58,799684,4633616,134,133,1098
2016-01-05,2016,"IT1841A",45.7391304347826,1,"inverno",1205886,9.6,8,11.7,3.4,11.9,93.6,-0.9,0.3,0.948683298050514,3.21613984447458,0.9,108.434948822922,975.1,16.9,0.48,0.29,0.03,0.5,799684,4633616,134,133,1099
2016-01-06,2016,"IT1841A",28.6521739130435,1,"inverno",1205886,8.6,5.4,10.7,13.9,3.4,93,1.7,0.1,1.70293863659264,1.88668805901985,0.948683298050514,266.63353933657,975.9,50.6,0.08,0.65,0.08,1.1,799684,4633616,134,133,1100
2016-01-07,2016,"IT1841A",45.0434782608696,1,"inverno",1205886,8,3.6,11.3,0.4,13.9,86.4,-0.7,-0.1,0.707106781186547,3.02791068052843,1.70293863659264,81.869897645844,980.2,76.9,0.16,0.28,0.05,0.47,799684,4633616,134,133,1101
2016-01-08,2016,"IT1841A",30.6086956521739,1,"inverno",1205886,11.5,7.7,14.6,0.7,0.4,91,-1.7,1.5,2.26715680975093,2.01180892727362,0.707106781186547,131.423665625003,984.6,43.3,0.06,0.53,0.04,0.57,799684,4633616,134,133,1102
2016-01-09,2016,"IT1841A",20.1304347826087,1,"inverno",1205886,12.8,11.4,15.1,0.3,0.7,92.4,-2.5,2.7,3.67967389859482,5.05830607569853,2.26715680975093,137.202598161766,985.4,48.3,0.27,0.74,0.21,0.83,799684,4633616,134,133,1103
2016-01-10,2016,"IT1841A",19.5217391304348,1,"inverno",1205886,13,11.4,15,8.8,0.3,90.5,0.9,2.4,2.56320112359526,1.23929822083973,3.67967389859482,200.556045219583,984.3,68.1,0.32,0.95,0.22,1.01,799684,4633616,134,133,1104
2016-01-11,2016,"IT1841A",20.5217391304348,1,"inverno",1205886,13.2,11.4,15.1,3.4,8.8,87.8,1.6,3.9,4.2154477816716,7.53575377675788,2.56320112359526,202.306205054908,983.3,56.4,0.28,0.93,0.28,1.39,799684,4633616,134,133,1105
2016-01-12,2016,"IT1841A",41.1739130434783,1,"inverno",1205886,11.2,9.2,12.4,1.2,3.4,75.5,4.5,1,4.60977222864644,2.37081020564442,4.2154477816716,257.471192290848,984.4,71.6,0.81,1.67,0.34,1.67,799684,4633616,134,133,1106
2016-01-13,2016,"IT1841A",52.695652173913,1,"inverno",1205886,8.6,5,11.1,1.6,1.2,75.2,2,-1.1,2.28254244210267,1.74000878860846,4.60977222864644,298.810793742973,990.6,64.9,0.28,1.09,0.23,1.22,799684,4633616,134,133,1107
2016-01-14,2016,"IT1841A",28.8260869565217,1,"inverno",1205886,7.6,2.6,10.7,8.4,1.6,83.5,-0.6,2,2.08806130178211,2.33673401505923,2.28254244210267,163.300755766006,992.1,49.8,0.2,1.12,0.02,1.12,799684,4633616,134,133,1108
2016-01-15,2016,"IT1841A",47.9565217391304,1,"inverno",1205886,9.8,6.7,10.9,7.3,8.4,86.4,2,-0.1,2.00249843945008,2.51133986446715,2.08806130178211,272.862405226112,983.1,29.5,0.78,0.66,0.22,0.9,799684,4633616,134,133,1109
